Individual,Fitness_0,Fitness_25,Fitness_50,Fitness_75,Fitness_100,Fitness_125,Fitness_150,Fitness_175
job_relative_deadline+machine_current_breakdown_rate+job_remaining_number_of_operations+pair_number_of_alternative_operations>operation_cooldown/job_remaining_work_to_complete+pair_number_of_alternative_machines*machine_cooldown>job_relative_deadline+job_earliness_penalty+job_remaining_number_of_operations/machine_replacement_cooldown/{-15.0}>machine_cooldown>job_remaining_number_of_operations<machine_replacement_cooldown,307.2535774967029,388.5886724079884,345.7990792817185,295.0133300160157,331.8129534801266,309.6102977191581,338.670439783095,336.1487752853601
job_relative_deadline+operation_cooldown-job_time_alive+{-5.0}-operation_work_required>operation_windup<job_delivery_relaxation-pair_number_of_alternative_operations>operation_work_required/operation_work_required<{7.0}-{-8.0}>warehouse_utilization_rate-{-14.0}+machine_capacity+machine_current_breakdown_rate,303.8953471782109,385.2377875658783,345.14524605041805,299.57429920667374,340.537066086393,299.22774062689047,344.04307914468524,328.0092116425365
job_relative_deadline-machine_current_breakdown_rate>pair_number_of_alternative_operations<{-8.0}<{2.0}*{8.0}>operation_work_required/pair_number_of_alternative_operations<operation_cooldown<machine_current_breakdown_rate*pair_number_of_alternative_operations/job_remaining_work_to_complete-job_time_alive>job_delivery_relaxation<{-12.0}<job_earliness_penalty,481.07236640109954,968.7735655659894,388.6125762505778,525.3392916425913,403.5858613525612,401.8614670143845,393.6898097206568,389.21583268875287
job_relative_deadline<machine_cooldown>machine_replacement_cooldown<pair_expected_work_power+machine_replacement_cooldown/pair_expected_processing_time>job_remaining_work_to_complete-operation_windup/job_time_alive+pair_expected_work_power<machine_capacity+job_delivery_relaxation+pair_number_of_alternative_operations-{-8.0}+job_time_alive>job_lateness_penalty,315.8298444939268,393.18895807573074,330.78892290922687,295.50840133567,341.6164366630152,308.7421903162382,342.18049653040066,344.0978102436834
machine_cooldown+operation_windup<operation_work_required+{4.0}<{7.0}/operation_work_required-pair_number_of_alternative_operations+job_delivery_relaxation*machine_replacement_cooldown+job_time_alive*warehouse_utilization_rate-machine_capacity+machine_current_breakdown_rate-pair_number_of_alternative_operations/{13.0}<job_delivery_relaxation,307.1368897700588,390.0905427824656,346.71771698368804,299.408820006676,339.2844949885792,305.4676983115929,337.0625322544211,331.67546430365604
machine_cooldown/job_delivery_relaxation*warehouse_utilization_rate<machine_replacement_cooldown/job_remaining_number_of_operations>job_remaining_work_to_complete<warehouse_utilization_rate>{6.0}>operation_cooldown>job_time_alive+machine_replacement_cooldown>pair_expected_work_power>machine_current_breakdown_rate*operation_work_required<machine_replacement_cooldown*{5.0},314.90603027428955,386.3836342268562,348.425031576363,296.48193225634736,342.6143787511017,309.48970572044794,348.2382346964879,341.1392243052829
machine_current_breakdown_rate*pair_expected_work_power+machine_current_breakdown_rate*job_lateness_penalty<job_earliness_penalty-pair_expected_processing_time+{-9.0}<machine_capacity/job_remaining_number_of_operations-{6.0}*operation_cooldown*job_lateness_penalty*job_delivery_relaxation/operation_work_required>{11.0}*operation_cooldown,432.9091976201785,1319.7182456210571,346.1306295963734,592.2045914315673,347.99915310107696,346.80308071195134,345.0917636481226,364.5332934993351
machine_current_breakdown_rate*{-6.0}/pair_number_of_alternative_machines*operation_cooldown>job_remaining_number_of_operations*pair_number_of_alternative_machines+pair_expected_work_power/operation_work_required<operation_windup*job_delivery_relaxation*pair_expected_processing_time/pair_number_of_alternative_machines<warehouse_utilization_rate<machine_current_breakdown_rate>warehouse_utilization_rate-job_delivery_relaxation,312.7679272875298,392.7406883235101,346.66671418131705,301.092378000332,333.2800801670632,301.1134883804326,344.6046541496747,334.3787341923183
machine_current_breakdown_rate>operation_work_required>pair_number_of_alternative_machines-pair_number_of_alternative_machines/machine_current_breakdown_rate<job_remaining_number_of_operations>pair_expected_processing_time/job_time_alive-machine_replacement_cooldown+machine_current_breakdown_rate+warehouse_utilization_rate/job_remaining_number_of_operations<warehouse_utilization_rate<machine_cooldown/pair_number_of_alternative_machines>pair_expected_work_power,315.6345380276575,389.25334304482976,350.23978558181227,288.4878643911192,339.0284510600728,306.82946165168914,341.8762423031203,338.9295574894621
operation_cooldown/{-12.0}>operation_work_required*operation_windup<{13.0}-pair_number_of_alternative_operations*job_earliness_penalty>operation_work_required-machine_current_breakdown_rate*machine_current_breakdown_rate+machine_replacement_cooldown*pair_number_of_alternative_machines+machine_replacement_cooldown+{-3.0}/job_remaining_work_to_complete-job_remaining_work_to_complete,403.8814536747281,805.4003867243978,355.78841965537487,617.4889962353225,353.05286428719097,366.2489097537981,345.102377509419,354.6647509457532
operation_windup+job_earliness_penalty+operation_cooldown<job_earliness_penalty<pair_expected_work_power>job_delivery_relaxation>warehouse_utilization_rate*operation_windup<warehouse_utilization_rate-machine_capacity+job_earliness_penalty<machine_current_breakdown_rate/machine_cooldown/pair_number_of_alternative_machines-machine_capacity>job_remaining_number_of_operations,480.7515677722656,1210.7967922080502,358.4246047590013,607.1263570259341,344.0954320482323,352.91888528326103,342.1215877564501,333.3476962739436
operation_work_required<job_remaining_work_to_complete+pair_number_of_alternative_machines*job_relative_deadline<warehouse_utilization_rate*job_remaining_number_of_operations-machine_replacement_cooldown+job_earliness_penalty/{13.0}-job_remaining_work_to_complete*operation_windup/job_remaining_work_to_complete+job_remaining_work_to_complete>job_relative_deadline*job_remaining_work_to_complete/job_lateness_penalty,466.2613687846434,1430.3724401631812,343.87143078072063,794.646695744987,357.2622147687674,398.0748722338938,352.37249664341215,333.892053836109
operation_work_required<machine_replacement_cooldown+job_relative_deadline<pair_expected_work_power+pair_number_of_alternative_operations-pair_expected_work_power*{0.0}/job_remaining_number_of_operations>operation_work_required/warehouse_utilization_rate-pair_number_of_alternative_machines-job_lateness_penalty>machine_current_breakdown_rate+warehouse_utilization_rate-machine_current_breakdown_rate-{-4.0},307.121991006089,388.1596438454087,342.3454337821526,299.6125375301796,332.1618698690867,307.3075359702242,341.1943953174821,337.13349874530445
pair_expected_processing_time*operation_work_required/pair_number_of_alternative_operations*job_time_alive<job_time_alive>machine_replacement_cooldown-pair_number_of_alternative_machines<{7.0}/warehouse_utilization_rate/operation_cooldown*pair_expected_processing_time/{-11.0}*pair_number_of_alternative_operations+job_earliness_penalty/{3.0}<operation_work_required,311.19140642278256,425.274208362231,337.5507528279509,364.8409881827816,328.36249812798906,315.0379257514287,331.9361736362322,318.7499751913534
pair_expected_work_power/{11.0}*machine_current_breakdown_rate*job_remaining_work_to_complete<operation_work_required>operation_work_required/{-15.0}-machine_capacity+operation_cooldown-machine_cooldown*pair_expected_work_power<pair_number_of_alternative_machines<{-1.0}<job_lateness_penalty/operation_cooldown/pair_number_of_alternative_machines,573.3116064661658,1571.223263673024,344.5134770980836,1031.269026263364,359.7583943175296,457.73372437964986,382.1742945150738,398.08964039634776
pair_expected_work_power<machine_cooldown+job_remaining_number_of_operations/job_remaining_number_of_operations/job_delivery_relaxation-operation_windup>{-11.0}>machine_current_breakdown_rate/job_relative_deadline-warehouse_utilization_rate*operation_cooldown>pair_expected_work_power/{-2.0}*warehouse_utilization_rate/job_earliness_penalty+job_remaining_number_of_operations,415.8805558457216,1079.0548090659602,353.613457823925,575.9754140463989,376.3768111560612,371.9204266453721,348.76843657407585,378.5557192885024
pair_number_of_alternative_machines<pair_expected_work_power>{-4.0}<job_relative_deadline/warehouse_utilization_rate*job_remaining_number_of_operations*machine_current_breakdown_rate+machine_capacity*job_relative_deadline-machine_cooldown/machine_capacity/pair_expected_work_power*{12.0}<pair_expected_work_power/pair_expected_work_power<pair_number_of_alternative_operations,539.2089502188921,997.064224047805,432.5816953831561,727.2312947914066,466.5147949887947,494.9654699043011,427.09992636970406,472.1095776250884
pair_number_of_alternative_operations<machine_cooldown<operation_cooldown<machine_replacement_cooldown*pair_number_of_alternative_operations/operation_work_required/machine_replacement_cooldown-job_relative_deadline+job_delivery_relaxation/{11.0}<operation_work_required/job_delivery_relaxation*operation_cooldown>pair_expected_work_power-{-4.0}+{12.0},311.7339793185179,396.5841874606468,347.6227324209892,295.4389280221438,342.78659444677305,306.7898421692944,349.1686648281011,340.002365801334
warehouse_utilization_rate>job_relative_deadline-job_time_alive+job_time_alive+{14.0}>job_lateness_penalty>{-4.0}<job_remaining_work_to_complete>job_remaining_number_of_operations<job_lateness_penalty/{-13.0}+machine_replacement_cooldown>{11.0}<job_remaining_number_of_operations-machine_cooldown/job_remaining_number_of_operations,307.58326992526884,390.9335769025125,358.20648859981753,303.79518468865206,333.6369663935842,305.9354105961013,343.7065238600755,338.2349367970047
warehouse_utilization_rate>job_remaining_work_to_complete/job_remaining_number_of_operations+job_lateness_penalty/job_relative_deadline-pair_number_of_alternative_operations/{12.0}-pair_number_of_alternative_operations<pair_expected_work_power*{-6.0}-job_time_alive-{13.0}>pair_expected_processing_time<{-9.0}>operation_cooldown+machine_cooldown,428.8400543362569,948.9557859251548,369.4469182145135,606.6065865156047,394.3024264655735,384.6847591391651,362.9930668745325,382.53377923651215
{-1.0}>{3.0}>{2.0}+machine_cooldown<machine_replacement_cooldown/job_remaining_work_to_complete>job_remaining_number_of_operations>job_earliness_penalty+{3.0}*{-7.0}/machine_current_breakdown_rate*pair_number_of_alternative_operations-pair_number_of_alternative_operations<job_earliness_penalty+operation_cooldown/job_remaining_work_to_complete,833.5401877331977,5014.236701980741,411.55061913761074,1877.8174696767253,435.8337791973522,725.1061531070488,431.0532872225916,558.6329185970451
{-13.0}/machine_current_breakdown_rate<{11.0}>operation_cooldown>{-13.0}>job_delivery_relaxation/job_remaining_number_of_operations<{-4.0}+job_lateness_penalty<pair_number_of_alternative_operations*job_relative_deadline/job_earliness_penalty/job_remaining_number_of_operations/operation_work_required/operation_work_required/operation_cooldown,551.4367350139512,994.4316778162936,465.2779195900755,703.7290181008826,476.9409265784173,467.91250549299855,416.3597520800964,454.6857604030224
{-5.0}-job_lateness_penalty*{-14.0}-job_remaining_work_to_complete>machine_replacement_cooldown>machine_current_breakdown_rate*pair_expected_work_power-{11.0}>operation_cooldown-{-6.0}*job_relative_deadline-pair_expected_work_power>job_remaining_number_of_operations>pair_number_of_alternative_machines*job_delivery_relaxation-operation_work_required,301.85530236727345,375.2509221934164,326.88620034115365,287.82508503330286,329.2403301855283,297.0737284897017,339.9840313985852,327.1815483762668
{-6.0}>job_earliness_penalty>job_delivery_relaxation<operation_cooldown+job_remaining_number_of_operations<job_remaining_work_to_complete/job_lateness_penalty>warehouse_utilization_rate/{-11.0}/warehouse_utilization_rate/operation_cooldown-{3.0}-job_time_alive+machine_current_breakdown_rate+warehouse_utilization_rate>pair_expected_processing_time,450.57590345640347,1245.3343786374612,337.1831185331542,756.7893819748328,349.5463247090617,396.44097603296206,321.7919723262579,334.70011700779776
