Step,Individual,Fitness
1,(pair_number_of_alternative_machines*(5.0>operation_work_required)),424.7113098095821
1,(pair_number_of_alternative_machines<(pair_number_of_alternative_operations/-6.0)),431.10598042184165
1,(4.25+(machine_replacement_cooldown*job_remaining_number_of_operations)),477.8125515350625
1,(4.0>(machine_processing_cost_fixed<pair_number_of_alternative_operations)),450.77616633291717
1,((job_remaining_work_to_complete+((job_remaining_number_of_operations>machine_processing_cost_per_second)*((job_remaining_number_of_operations>job_starting_number_of_operations)>(pair_expected_processing_time<machine_processing_energy_per_second))))-machine_cooldown),422.29485102653655
1,((operation_windup-(operation_windup-machine_processing_energy_per_second))>operation_cooldown),490.3246384614264
1,((3.75<machine_processing_cost_per_second)/(pair_number_of_alternative_operations/(pair_number_of_alternative_machines*(pair_number_of_alternative_operations+pair_number_of_alternative_machines)))),444.5114758577057
1,(((job_remaining_number_of_operations>pair_number_of_alternative_machines)/((5.75>(machine_processing_energy_fixed<machine_replacement_cooldown))-(-4.75*(pair_number_of_alternative_operations<machine_processing_energy_fixed))))/(machine_current_breakdown_rate<machine_processing_energy_per_second)),411.7433393618067
1,((3.75-(pair_number_of_alternative_operations<pair_expected_work_power))*machine_processing_energy_fixed),457.946003611157
1,(((operation_work_required*-7.0)-(machine_processing_energy_per_second<(4.0<machine_processing_energy_per_second)))<machine_current_breakdown_rate),480.35213927602297
1,(machine_cooldown<((-2.25*(job_remaining_number_of_operations>(operation_work_required<operation_cooldown)))<job_starting_number_of_operations)),446.9209392242334
1,(((-0.5*machine_capacity)-operation_windup)+pair_expected_work_power),445.24660747681526
1,((job_remaining_work_to_complete-2.5)-(job_relative_deadline*machine_current_breakdown_rate)),432.968877939221
1,(job_remaining_number_of_operations<(-6.75*8.25)),450.77616633291717
1,(machine_capacity+machine_processing_energy_fixed),423.073381787277
1,(machine_processing_cost_per_second/(9.5>(job_relative_deadline>pair_number_of_alternative_machines))),407.14500689615755
1,((machine_capacity-(((pair_number_of_alternative_operations>pair_expected_processing_time)>(3.75<job_relative_deadline))*machine_cooldown))-operation_windup),435.7136593469712
1,(job_remaining_number_of_operations/(-8.0-machine_capacity)),425.11812058272164
1,((-0.25+(-0.5/(job_remaining_work_to_complete<-3.5)))*-1.5),450.77616633291717
1,((((job_remaining_work_to_complete<(5.75-machine_capacity))<job_remaining_work_to_complete)>(job_starting_number_of_operations>machine_processing_energy_fixed))*(operation_cooldown-(((machine_capacity<machine_capacity)+(operation_windup*machine_processing_cost_per_second))*pair_number_of_alternative_machines))),443.0154622693989
1,(operation_windup/((pair_number_of_alternative_machines/job_remaining_work_to_complete)<(((warehouse_utilization_rate/pair_expected_work_power)*operation_cooldown)/machine_capacity))),476.08508777647603
1,(1.5>operation_cooldown),453.37892801071604
1,((-6.75/(warehouse_utilization_rate>(machine_processing_energy_fixed-(job_remaining_work_to_complete/machine_capacity))))/machine_processing_cost_per_second),415.58683179488173
1,(((((-0.5+job_relative_deadline)*(operation_work_required/operation_windup))-(job_remaining_number_of_operations-operation_work_required))/(((3.5<job_relative_deadline)/job_remaining_work_to_complete)<(machine_processing_energy_fixed/(job_remaining_work_to_complete*operation_windup))))+job_relative_deadline),439.49789970726727
1,((-9.0>machine_replacement_cooldown)<(pair_number_of_alternative_machines/(machine_processing_energy_fixed/job_remaining_number_of_operations))),426.419783894467
1,((-3.0<pair_expected_work_power)<((job_remaining_number_of_operations<machine_processing_energy_fixed)*-4.5)),411.26045686449226
1,(operation_windup-(machine_current_breakdown_rate-(pair_expected_processing_time+((job_remaining_work_to_complete>pair_number_of_alternative_machines)+-7.25)))),448.4775035862754
1,((pair_number_of_alternative_machines/((machine_capacity+(8.0+0.75))<((machine_replacement_cooldown<machine_processing_energy_per_second)/machine_processing_cost_per_second)))/machine_processing_energy_per_second),447.2252390047834
1,(pair_expected_processing_time+((job_remaining_work_to_complete-(warehouse_utilization_rate-machine_current_breakdown_rate))+machine_processing_energy_per_second)),463.95783468779894
1,(((((job_relative_deadline+machine_capacity)/machine_processing_cost_per_second)-1.25)/7.75)*(machine_current_breakdown_rate/warehouse_utilization_rate)),432.0899550018056
1,(machine_processing_cost_fixed*(pair_number_of_alternative_machines<machine_processing_energy_fixed)),423.42800767374996
1,(job_remaining_work_to_complete/machine_processing_energy_fixed),457.44469943142525
1,(operation_work_required-job_remaining_number_of_operations),434.03833657221435
1,((warehouse_utilization_rate+operation_cooldown)-job_starting_number_of_operations),498.51594613152145
1,(pair_number_of_alternative_machines/job_remaining_work_to_complete),423.18424744745664
1,((machine_processing_energy_per_second+pair_number_of_alternative_operations)--6.0),441.672573684757
1,((-1.0*(job_remaining_work_to_complete*job_remaining_number_of_operations))<machine_current_breakdown_rate),434.0450692987316
1,(operation_cooldown-((job_starting_number_of_operations-job_remaining_number_of_operations)*((machine_processing_cost_per_second>pair_expected_processing_time)/machine_processing_cost_fixed))),423.36865941194617
1,((((pair_number_of_alternative_machines+machine_current_breakdown_rate)*((machine_replacement_cooldown+8.25)>operation_windup))-3.25)>(((job_remaining_number_of_operations/(operation_windup>job_relative_deadline))-(operation_cooldown*pair_expected_work_power))+(((pair_number_of_alternative_operations*job_remaining_number_of_operations)>2.5)>job_remaining_work_to_complete))),503.6400668719079
1,(pair_number_of_alternative_operations*(operation_work_required*((machine_capacity/(pair_expected_processing_time*operation_windup))/machine_processing_cost_fixed))),411.6991118288205
1,(machine_replacement_cooldown/machine_processing_cost_per_second),434.38640072897755
1,((machine_processing_energy_fixed<(((machine_processing_energy_per_second-job_relative_deadline)/-0.75)/job_starting_number_of_operations))<machine_current_breakdown_rate),511.76050801858617
1,(pair_expected_work_power*job_relative_deadline),453.7027510005191
1,((pair_number_of_alternative_operations*(((pair_number_of_alternative_operations<machine_processing_cost_per_second)-machine_capacity)>(operation_cooldown-machine_capacity)))>-5.75),473.1604837700608
1,(((warehouse_utilization_rate+((machine_cooldown-7.5)/job_remaining_number_of_operations))+((operation_cooldown<-5.75)+warehouse_utilization_rate))-job_relative_deadline),458.00230986112035
1,(((operation_windup-((-5.75*machine_processing_energy_fixed)+(operation_work_required<pair_number_of_alternative_operations)))>(operation_cooldown*(warehouse_utilization_rate+(machine_processing_energy_fixed*operation_cooldown))))>machine_processing_cost_per_second),418.8881455355774
1,(pair_expected_work_power<-5.0),450.77616633291717
1,(job_remaining_number_of_operations+((machine_processing_energy_fixed*3.25)*(job_remaining_work_to_complete-((pair_number_of_alternative_operations>pair_number_of_alternative_machines)/job_relative_deadline)))),445.0541946223598
1,((pair_expected_work_power<(1.5+(operation_work_required<pair_number_of_alternative_machines)))>pair_expected_processing_time),436.75500341682454
