Epoch,Criterion_Weight_Raw,Criterion_Weight_Reduced,Train_Autoencoder_TotalDatapoints,Train_Encoder_Loss,Train_Autoencoder_Loss,Train_Autoencoder_Total_Criterion,Train_Autoencoder_Raw_Criterion,Train_Autoencoder_Reduced_Criterion,Train_Autoencoder_Valid,Train_Autoencoder_Accuracy,Train_Autoencoder_Perfects,Train_Encoder_LR,Train_Autoencoder_LR,Val_Autoencoder_TotalDatapoints,Val_Encoder_Loss,Val_Autoencoder_Loss,Val_Autoencoder_Total_Criterion,Val_Autoencoder_Raw_Criterion,Val_Autoencoder_Reduced_Criterion,Val_Autoencoder_Valid,Val_Autoencoder_Accuracy,Val_Autoencoder_Perfects,Example,AutoencodedExample
32,1.0,0.0,524288,0.0,0.689560231519863,0.689560231519863,0.689560231519863,4.746353650375568e-05,0.0,0.6958332061767578,0.0,0.001,0.001,16384,0.0,0.623900666134432,0.623900666134432,0.623900666134432,4.1219200895170616e-05,0.0,0.7138729095458984,0.0,pair_number_of_alternative_operations-{11.0}>machine_cooldown>job_earliness_penalty*{3.0}*{-2.0}-{-8.0}+{-4.0}+job_earliness_penalty>{-12.0}/job_delivery_relaxation+operation_windup-{9.0}*{-4.0}>{-8.0}<{-10.0}EOS,pair_number_of_alternative_operations-{11.0}>machine_cooldown>job_relative_deadline*{1.0}*machine_current_breakdown_rate-job_time_alive+machine_replacement_cooldown+job_earliness_penalty>{-8.0}/job_delivery_relaxation+operation_windup-{-4.0}*operation_work_required>{-8.0}<job_time_aliveEOS
33,1.0,0.0,540672,0.0,0.6758594203274697,0.6758594203274697,0.6758594203274697,4.062461697174058e-05,0.0,0.6989784240722656,0.0,0.001,0.001,16384,0.0,0.6040056853089482,0.6040056853089482,0.6040056853089482,3.4297776771552435e-05,0.0,0.7218074798583984,0.0,job_remaining_work_to_complete<{-14.0}+{1.0}*{12.0}+{-2.0}+{-2.0}*{-9.0}-{-2.0}<job_remaining_number_of_operations/{-12.0}*{2.0}<{-7.0}/{-10.0}+{0.0}>{-3.0}<{-15.0}EOS,job_remaining_work_to_complete<job_remaining_number_of_operations+{-8.0}*{12.0}+machine_current_breakdown_rate+{-14.0}*{-9.0}-{6.0}<job_remaining_number_of_operations/{-14.0}*{-3.0}<{1.0}/{0.0}+{0.0}>{14.0}<{2.0}EOS
34,1.0,0.0,557056,0.0,0.65424690162763,0.65424690162763,0.65424690162763,3.447926988542349e-05,0.0,0.70538330078125,0.0,0.001,0.001,16384,0.0,0.5849834340624511,0.5849834340624511,0.5849834340624511,2.992673736201823e-05,0.0,0.7306671142578125,0.0,{9.0}/{-2.0}/{2.0}>{-2.0}*{-6.0}>pair_number_of_alternative_operations<{12.0}<{-10.0}-{12.0}+{13.0}>{2.0}<machine_current_breakdown_rate-{9.0}/{-5.0}/operation_work_required*job_relative_deadlineEOS,{12.0}/{-2.0}/{-9.0}<{-11.0}*{-9.0}>pair_number_of_alternative_operations<{0.0}<{1.0}-{12.0}+{13.0}>{11.0}<machine_current_breakdown_rate-operation_windup/{-5.0}/operation_work_required*job_relative_deadlineEOS
35,1.0,0.0,573440,0.0,0.6334768149536103,0.6334768149536103,0.6334768149536103,2.9124542706426837e-05,0.0,0.7137336730957031,0.0,0.001,0.001,16384,0.0,0.5604751692153513,0.5604751692153513,0.5604751692153513,2.4557860477614213e-05,0.0,0.7383041381835938,0.0,job_remaining_number_of_operations<{-9.0}<{12.0}>{9.0}*job_earliness_penalty<{4.0}+{4.0}/{-3.0}<{12.0}*operation_work_required/operation_work_required/{-13.0}/{14.0}<{2.0}/{-6.0}<{-10.0}EOS,job_remaining_number_of_operations<{12.0}<{9.0}>job_relative_deadline*job_earliness_penalty<{11.0}+warehouse_utilization_rate/{-8.0}<job_remaining_work_to_complete*operation_work_required/operation_work_required/operation_cooldown/operation_work_required<{-1.0}/job_delivery_relaxation<{-10.0}EOS
36,1.0,0.0,589824,0.0,0.6131640188395977,0.6131640188395977,0.6131640188395977,2.3999579184419417e-05,0.0,0.7209320068359375,0.0,0.001,0.001,16384,0.0,0.5413602669723332,0.5413602669723332,0.5413602669723332,2.0712452410975857e-05,0.0,0.7463417053222656,0.0,operation_work_required/{-11.0}-{-6.0}-{5.0}>{-11.0}/{3.0}>{11.0}<{-10.0}/{-9.0}/{12.0}*{-12.0}/job_lateness_penalty<operation_windup<{-5.0}/{-5.0}-{13.0}EOS,operation_work_required/{-9.0}-{-6.0}-{5.0}>pair_number_of_alternative_operations/{10.0}>{14.0}<{-10.0}/{-9.0}/{12.0}*{7.0}/job_lateness_penalty<operation_windup<{-5.0}/pair_expected_processing_time-{13.0}EOS
37,1.0,0.0,606208,0.0,0.5931726540438831,0.5931726540438831,0.5931726540438831,2.0401644860612578e-05,0.0,0.7282581329345703,0.0,0.001,0.001,16384,0.0,0.5200008604442701,0.5200008604442701,0.5200008604442701,1.724483891507589e-05,0.0,0.7561473846435547,0.0,{-1.0}+{-11.0}>pair_expected_processing_time*{0.0}/job_time_alive+{-14.0}-{15.0}+{13.0}>{-12.0}<machine_replacement_cooldown+job_relative_deadline*{6.0}*{4.0}/{12.0}>{-9.0}>job_remaining_work_to_completeEOS,job_earliness_penalty+{-8.0}>pair_expected_processing_time*pair_number_of_alternative_machines/job_time_alive+{-14.0}-machine_cooldown+machine_cooldown>machine_capacity<machine_replacement_cooldown+job_relative_deadline*{-5.0}*{4.0}/job_remaining_work_to_complete>{7.0}>job_remaining_work_to_completeEOS
38,1.0,0.0,622592,0.0,0.5751085805241019,0.5751085805241019,0.5751085805241019,1.674812620322541e-05,0.0,0.7350902557373047,0.0,0.001,0.001,16384,0.0,0.4985315102385357,0.4985315102385357,0.4985315102385357,1.4041351857230211e-05,0.0,0.7650108337402344,0.0,pair_expected_work_power-{4.0}>{5.0}+{1.0}>{4.0}/{-1.0}-{-4.0}<{15.0}/{-11.0}/{4.0}<{1.0}<job_relative_deadline*operation_cooldown>{-10.0}+{-15.0}/{-12.0}EOS,pair_expected_work_power-{4.0}>{-8.0}+{10.0}>{4.0}/{-1.0}-{6.0}<{6.0}/pair_expected_work_power/{4.0}<{9.0}<job_relative_deadline*operation_cooldown>{6.0}+{8.0}/{-12.0}EOS
39,1.0,0.0,638976,0.0,0.548707481008023,0.548707481008023,0.548707481008023,1.3611528085988311e-05,0.0,0.7465381622314453,0.0,0.001,0.001,16384,0.0,0.4745374311460182,0.4745374311460182,0.4745374311460182,1.1932060573371928e-05,0.0,0.7769260406494141,0.0,{0.0}/job_time_alive+{8.0}>{-13.0}*machine_capacity*{-7.0}+{11.0}>{7.0}+pair_expected_work_power>{1.0}+pair_expected_work_power-job_relative_deadline-{-6.0}>{0.0}-job_delivery_relaxation*{0.0}EOS,{8.0}/job_time_alive+{11.0}>{-13.0}*machine_capacity*{12.0}+operation_cooldown>{-11.0}+pair_expected_work_power>{-7.0}+job_lateness_penalty-job_relative_deadline-{-6.0}>{0.0}-job_delivery_relaxation*{0.0}EOS
40,1.0,0.0,655360,0.0,0.5274957246147096,0.5274957246147096,0.5274957246147096,1.1679169354295027e-05,0.0,0.7562675476074219,0.0,0.001,0.001,16384,0.0,0.45537828758824617,0.45537828758824617,0.45537828758824617,1.0310923716616571e-05,0.0,0.7859992980957031,6.103515625e-05,{14.0}+{-13.0}>{-4.0}+machine_replacement_cooldown+pair_expected_processing_time*{-1.0}+warehouse_utilization_rate+{-8.0}/{-10.0}*{-13.0}*job_remaining_work_to_complete/{11.0}>{15.0}/machine_replacement_cooldown<{-13.0}+job_time_aliveEOS,{-5.0}+job_time_alive>{-11.0}+machine_replacement_cooldown+pair_expected_processing_time*{-1.0}+{0.0}+{-8.0}/{-10.0}*{-11.0}*{8.0}/job_lateness_penalty>{-12.0}/machine_replacement_cooldown<{-13.0}+job_time_aliveEOS
41,1.0,0.0,671744,0.0,0.5101776769151911,0.5101776769151911,0.5101776769151911,1.0092611280043684e-05,0.0,0.7633228302001953,0.0,0.001,0.001,16384,0.0,0.439302256796509,0.439302256796509,0.439302256796509,8.688720473770672e-06,0.0,0.7960205078125,0.0001220703125,{3.0}-job_remaining_work_to_complete*{5.0}/{-15.0}*{-15.0}+{-13.0}+{-7.0}/{-12.0}<operation_cooldown>machine_capacity<machine_replacement_cooldown/{-5.0}+job_lateness_penalty*{2.0}-{5.0}/{-12.0}EOS,{8.0}-job_remaining_work_to_complete*{5.0}/job_lateness_penalty*{3.0}+{-13.0}+{9.0}/{-12.0}<operation_cooldown>machine_capacity<machine_replacement_cooldown/{-5.0}+warehouse_utilization_rate*{-2.0}-{5.0}/job_remaining_work_to_completeEOS
